npi,category,taxonomy_code,primary_switch,nppes_deactivated,ndh_role,cms_enrollment_org
1003000407,physician,207Q00000X,Y,,Y,
1003000530,physician,207R00000X,Y,,Y,Y
1003001512,behavioral-health,103TC0700X,Y,,Y,
1003002387,rehab-therapy,225100000X,Y,,,
1003002551,rehab-therapy,225200000X,Y,,,
1003002783,physician,2085R0202X,Y,,Y,Y
1003002932,physician,207P00000X,Y,,Y,Y
1003003054,dental,1223G0001X,Y,,Y,
1003004458,behavioral-health,104100000X,Y,,,
1003005158,nursing,164W00000X,Y,,,
1003005851,behavioral-health,101Y00000X,Y,,,
1003006248,physician,207Y00000X,Y,,Y,Y
1003006297,rehab-therapy,2255A2300X,Y,,,
1003006735,advanced-practice,363LP0200X,Y,,Y,Y
1003007410,behavioral-health,101YA0400X,Y,,,
1003007592,advanced-practice,363A00000X,Y,,Y,Y
1003007683,physician,207P00000X,Y,,Y,Y
1003007725,pharmacy,183500000X,Y,,,
1003008335,behavioral-health,103TC0700X,Y,,Y,Y
1003008574,physician,208M00000X,Y,,Y,Y
1003009085,physician,207RC0000X,Y,,,
1003009523,physician,2080P0207X,Y,,,
1003010075,chiropractic,111N00000X,Y,,Y,
1003010133,physician,207Q00000X,Y,,Y,Y
1003010935,chiropractic,111N00000X,Y,,Y,Y
1003011081,behavioral-health,103TC0700X,Y,,,
1003011438,advanced-practice,363AM0700X,Y,,Y,
1003011552,behavioral-health,103TB0200X,Y,,,
1003011644,nursing,164W00000X,Y,,,
1003012154,physician,207P00000X,Y,,Y,Y
1003012519,dental,1223G0001X,Y,,,
1003013129,physician,2085R0204X,Y,,Y,Y
1003013202,pharmacy,183500000X,Y,,,
1003013483,physician,207RC0200X,Y,,Y,Y
1003013541,rehab-therapy,225100000X,Y,,,
1003013632,podiatry,213ES0131X,Y,,Y,
1003013988,advanced-practice,363A00000X,Y,,Y,Y
1003014317,rehab-therapy,225X00000X,Y,,Y,Y
1003014424,rehab-therapy,225X00000X,Y,,,
1003015223,nursing,164W00000X,Y,,,
1003015272,physician,208000000X,Y,,Y,Y
1003016114,rehab-therapy,235Z00000X,Y,,,
1003016304,eye-vision,152W00000X,Y,,Y,Y
1003016569,physician,208000000X,Y,,Y,
1003017328,nursing,163W00000X,Y,,,
1003017518,physician,207L00000X,Y,,Y,Y
1003018151,behavioral-health,103TC0700X,Y,,,
1003018938,rehab-therapy,225100000X,Y,,,
1003018946,physician,2086S0120X,Y,,Y,Y
1003019100,chiropractic,111N00000X,Y,,,
1003019159,behavioral-health,101YM0800X,Y,,,
1003019308,nursing,164W00000X,Y,,,
1003019811,physician,2084N0400X,Y,,Y,Y
1003020405,advanced-practice,363LW0102X,Y,,,
1003020546,pharmacy,183500000X,Y,,Y,
1003020561,physician,208G00000X,Y,,,
1003020629,rehab-therapy,225100000X,Y,,,
1003020751,physician,208G00000X,Y,,Y,Y
1003021734,dental,122300000X,Y,,Y,
1003022500,physician,208VP0000X,Y,,Y,Y
1003024365,physician,207P00000X,Y,,Y,Y
1003024811,physician,207RE0101X,Y,,Y,Y
1003024936,physician,207P00000X,Y,,,
1003024969,rehab-therapy,231H00000X,Y,,Y,
1003025461,physician,207R00000X,Y,,Y,Y
1003025776,physician,2084P0800X,Y,,,
1003027715,behavioral-health,104100000X,Y,,,
1003028283,support,376K00000X,Y,,,
1003028440,dental,1223G0001X,Y,,Y,
1003029281,rehab-therapy,235Z00000X,Y,,,
1003029562,physician,207R00000X,Y,,Y,Y
1003031246,behavioral-health,103T00000X,Y,,,
1003031774,rehab-therapy,2251G0304X,Y,,,
1003031816,rehab-therapy,225100000X,Y,,,
1003032665,pharmacy,183500000X,Y,,,
1003032699,rehab-therapy,224Z00000X,Y,,,
1003033168,rehab-therapy,225200000X,Y,,,
1003033689,physician,207W00000X,Y,,Y,
1003034455,physician,207R00000X,Y,,Y,Y
1003034612,rehab-therapy,225X00000X,Y,,Y,Y
1003034653,dental,1223G0001X,Y,,,
1003034984,dental,1223X0400X,Y,,,
1003035155,nursing,164W00000X,Y,,,
1003035353,physician,2085R0202X,Y,,Y,Y
1003037292,dental,1223G0001X,Y,,,
1003037979,dental,1223G0001X,Y,,Y,
1003038274,physician,207R00000X,Y,,Y,
1003038316,eye-vision,152W00000X,Y,,Y,Y
1003038761,physician,208600000X,Y,,Y,Y
1003038829,behavioral-health,101YM0800X,Y,,,
1003038993,rehab-therapy,225100000X,Y,,,
1003040007,behavioral-health,103K00000X,Y,,,
1003040015,behavioral-health,101YP2500X,Y,,Y,Y
1003040882,physician,207Y00000X,Y,,Y,Y
1003041005,physician,207PE0004X,Y,,Y,Y
1003041351,rehab-therapy,225X00000X,Y,,,
1003041559,physician,2084P0800X,Y,,Y,Y
1003041633,nursing,163W00000X,Y,,,
1003042490,physician,207RN0300X,Y,,Y,
1003042714,physician,208D00000X,Y,,Y,Y
1003043266,behavioral-health,1041C0700X,Y,,Y,Y
1003043316,rehab-therapy,225200000X,Y,,,
1003043555,physician,207Q00000X,Y,,Y,Y
1003044074,nursing,163WP0200X,Y,,,
1003044686,behavioral-health,101Y00000X,Y,,Y,Y
1003044934,physician,207Q00000X,Y,,Y,Y
1003045139,advanced-practice,363A00000X,Y,,Y,Y
1003045162,rehab-therapy,235Z00000X,Y,,,
1003045451,chiropractic,111N00000X,Y,,,
1003045931,dietary,133V00000X,Y,,,
1003046681,advanced-practice,367A00000X,Y,,Y,Y
1003047259,behavioral-health,103TC0700X,Y,,,
1003047424,behavioral-health,101YM0800X,Y,,,
1003047549,nursing,163W00000X,Y,,,
1003048083,dietary,133V00000X,Y,,Y,Y
1003048935,rehab-therapy,2251P0200X,Y,,,
1003049180,behavioral-health,101YM0800X,Y,,,
1003049503,physician,207R00000X,Y,,Y,Y
1003049578,advanced-practice,363LA2100X,Y,,Y,Y
1003050295,advanced-practice,363LF0000X,Y,,Y,Y
1003050378,pharmacy,183500000X,Y,,,
1003050535,physician,208100000X,Y,,Y,Y
1003050691,physician,207ZP0101X,Y,,Y,
1003050782,advanced-practice,363AM0700X,Y,,Y,Y
1003050915,physician,208M00000X,Y,,Y,Y
1003051392,nursing,164W00000X,Y,,,
1003051640,pharmacy,183700000X,Y,,,
1003051749,pharmacy,183500000X,Y,,Y,
1003052473,behavioral-health,103T00000X,Y,,,
1003052689,pharmacy,183700000X,Y,,,
1003052754,behavioral-health,1041C0700X,Y,,Y,Y
1003053141,nursing,164W00000X,Y,,,
1003053299,physician,207R00000X,Y,,,
1003053836,nursing,163W00000X,Y,,,
1003054073,rehab-therapy,225X00000X,Y,,Y,
1003054248,physician,207RE0101X,Y,,Y,Y
1003054503,physician,208000000X,Y,,,
1003055419,nursing,163W00000X,Y,,,
1003056078,rehab-therapy,225X00000X,Y,,Y,
1003056144,behavioral-health,103TC0700X,Y,,Y,Y
1003056524,physician,207R00000X,Y,,Y,Y
1003056649,nursing,163W00000X,Y,,,
1003056854,rehab-therapy,225X00000X,Y,,,
1003056888,advanced-practice,363LP0808X,Y,,Y,Y
1003056912,behavioral-health,101YM0800X,Y,,,Y
1003057001,advanced-practice,367A00000X,Y,,Y,
1003057639,dietary,133V00000X,Y,,,
1003057944,nursing,164W00000X,Y,,,
1003058264,physician,207LC0200X,Y,,Y,Y
1003058413,rehab-therapy,225100000X,Y,,,
1003059726,behavioral-health,103T00000X,Y,,,
1003059734,advanced-practice,367500000X,Y,,,
1003060740,physician,207Q00000X,Y,,Y,Y
1003060765,advanced-practice,363LA2200X,Y,,,
1003061961,rehab-therapy,225100000X,Y,,,
1003062571,behavioral-health,101YM0800X,Y,,,
1003062894,nursing,163W00000X,Y,,,
1003063348,physician,207RR0500X,Y,,Y,Y
1003063983,behavioral-health,101YP2500X,Y,,,
1003064031,physician,207R00000X,Y,,Y,Y
1003064197,rehab-therapy,225100000X,Y,,,
1003064239,behavioral-health,1041C0700X,Y,,Y,Y
1003064502,behavioral-health,101YP2500X,Y,,Y,Y
1003064726,podiatry,213ES0103X,Y,,Y,Y
1003064866,pharmacy,183500000X,Y,,,
1003065442,pharmacy,1835P1200X,Y,,,
1003065582,physician,208M00000X,Y,,Y,Y
1003065822,rehab-therapy,225100000X,Y,,,
1003065830,support,376K00000X,Y,,,
1003065962,behavioral-health,101YM0800X,Y,,,
1003066390,physician,207Q00000X,Y,,Y,Y
1003066481,behavioral-health,101Y00000X,Y,,,
1003067166,rehab-therapy,225200000X,Y,,,
1003067562,rehab-therapy,225X00000X,Y,,,
1003068081,rehab-therapy,225200000X,Y,,,
1003068248,physician,207Q00000X,Y,,,
1003068602,rehab-therapy,225X00000X,Y,,,
1003068685,rehab-therapy,225X00000X,Y,,,
1003070319,behavioral-health,101YM0800X,Y,,,
1003071135,physician,207ZP0105X,Y,,Y,Y
1003071366,support,376K00000X,Y,,,
1003071432,other-clinical,171100000X,Y,,,
1003072117,rehab-therapy,225100000X,Y,,Y,Y
1003073255,behavioral-health,104100000X,Y,,,
1003073370,behavioral-health,101YM0800X,Y,,,
1003073388,physician,2086S0129X,Y,,Y,Y
1003073552,physician,207P00000X,Y,,Y,Y
1003073578,physician,207RP1001X,Y,,Y,
1003073685,physician,207R00000X,Y,,Y,Y
1003073784,physician,207R00000X,Y,,Y,Y
1003074006,physician,207Q00000X,Y,,Y,Y
1003074584,physician,2084N0400X,Y,,Y,Y
1003074790,physician,207R00000X,Y,,Y,Y
1003075276,physician,207RN0300X,Y,,Y,
1003075466,advanced-practice,363AM0700X,Y,,Y,
1003075524,rehab-therapy,225100000X,Y,,,
1003075763,physician,207RC0000X,Y,,Y,Y
1003075946,physician,207Q00000X,Y,,Y,Y
1003075961,behavioral-health,101YM0800X,Y,,,
1003076035,physician,207P00000X,Y,,Y,
1003076118,rehab-therapy,225100000X,Y,,,
1003076399,physician,2084P0800X,Y,,Y,
1003076548,physician,2084P0800X,Y,,Y,Y
1003076720,advanced-practice,363LF0000X,Y,,Y,Y
1003077512,behavioral-health,101Y00000X,Y,,,
1003077595,physician,207Q00000X,Y,,,
1003077975,physician,207W00000X,Y,,Y,Y
1003078239,dental,1223G0001X,Y,,,
1003078254,physician,207R00000X,Y,,Y,Y
1003078478,dental,1223G0001X,Y,,Y,
1003078502,rehab-therapy,2251X0800X,Y,,,
1003078544,rehab-therapy,225100000X,Y,,,
1003078635,physician,207R00000X,Y,,,
1003078668,physician,207RG0100X,Y,,Y,
1003078684,physician,207Q00000X,Y,,Y,
1003079146,advanced-practice,363A00000X,Y,,Y,
1003079351,rehab-therapy,235Z00000X,Y,,,
1003079427,behavioral-health,1041C0700X,Y,,,
1003079849,dental,122300000X,Y,,,
1003079880,behavioral-health,101YM0800X,Y,,,
1003080334,rehab-therapy,235Z00000X,Y,,,
1003080458,behavioral-health,101YP2500X,Y,,Y,
1003080532,pharmacy,183500000X,Y,,,
1003080623,physician,207P00000X,Y,,Y,Y
1003080698,nursing,164W00000X,Y,,,
1003080748,rehab-therapy,231H00000X,Y,,Y,Y
1003081639,behavioral-health,103TC0700X,Y,,,
1003082348,pharmacy,183500000X,Y,,,
1003083635,behavioral-health,101YP2500X,Y,,,
1003084013,pharmacy,183500000X,Y,,,
1003084302,physician,207V00000X,Y,,Y,
1003084955,advanced-practice,363LX0001X,Y,,,
1003087255,pharmacy,183500000X,Y,,,
1003087396,rehab-therapy,2255A2300X,Y,,,
1003087776,advanced-practice,367500000X,Y,,Y,Y
1003088014,physician,2086S0129X,Y,,,
1003088584,eye-vision,156FX1800X,Y,,,
1003089194,behavioral-health,101YP2500X,Y,,Y,
1003090416,dental,122300000X,Y,,,
1003090754,nursing,164W00000X,Y,,,
1003090911,physician,208600000X,Y,,Y,Y
1003091190,rehab-therapy,224Z00000X,Y,,,
1003092123,dietary,133V00000X,Y,,Y,Y
1003092263,nursing,164W00000X,Y,,,
1003093378,behavioral-health,1041C0700X,Y,,,
1003093824,physician,207RC0001X,Y,,Y,
1003094277,pharmacy,183500000X,Y,,,
1003095522,behavioral-health,1041C0700X,Y,,,
1003096561,behavioral-health,101YM0800X,Y,,,
1003096884,rehab-therapy,225100000X,Y,,Y,Y
1003097791,nursing,164W00000X,Y,,,
1003098120,behavioral-health,101YP2500X,Y,,,
1003098955,dental,1223G0001X,Y,,,
1003099847,advanced-practice,363LF0000X,Y,,Y,Y
1003100140,behavioral-health,101YP2500X,Y,,,
1003100777,dental,1223G0001X,Y,,,
1003100900,physician,207R00000X,Y,,Y,
1003101023,other-clinical,174400000X,Y,,,
1003101908,physician,207R00000X,Y,,Y,
1003102369,rehab-therapy,235Z00000X,Y,,,
1003102435,dental,1223S0112X,Y,,Y,Y
1003103078,rehab-therapy,225X00000X,Y,,,
1003103565,advanced-practice,363A00000X,Y,,Y,
1003104233,advanced-practice,363AM0700X,Y,,Y,
1003104274,physician,208600000X,Y,,Y,Y
1003105362,advanced-practice,363LA2100X,Y,,Y,Y
1003106113,physician,207R00000X,Y,,Y,Y
1003106147,rehab-therapy,225200000X,Y,,,
1003106352,behavioral-health,101Y00000X,Y,,,
1003106485,behavioral-health,101YP2500X,Y,,Y,Y
1003106667,nursing,164W00000X,Y,,,
1003107442,physician,207Q00000X,Y,,Y,Y
1003107459,behavioral-health,103T00000X,Y,,Y,Y
1003107806,behavioral-health,103TC0700X,Y,,,
1003108085,physician,2085R0202X,Y,,Y,Y
1003108176,advanced-practice,363A00000X,Y,,Y,Y
1003108184,physician,207P00000X,Y,,Y,
1003108796,pharmacy,183500000X,Y,,,
1003109703,rehab-therapy,235Z00000X,Y,,,
1003109711,rehab-therapy,225200000X,Y,,,
1003109950,dietary,133V00000X,Y,,,
1003110057,behavioral-health,104100000X,Y,,,
1003110339,behavioral-health,101Y00000X,Y,,,
1003110644,rehab-therapy,224Z00000X,Y,,,
1003111097,behavioral-health,101YP2500X,Y,,,
1003112293,behavioral-health,103K00000X,Y,,,
1003112434,student,390200000X,Y,,Y,Y
1003112707,behavioral-health,101YM0800X,Y,,,
1003112806,rehab-therapy,235Z00000X,Y,,,
1003113317,rehab-therapy,225100000X,Y,,,
1003113457,rehab-therapy,225X00000X,Y,,,
1003113903,pharmacy,183700000X,Y,,,
1003114505,pharmacy,183700000X,Y,,,
1003114513,advanced-practice,364SP0809X,Y,,,
1003115395,physician,207RP1001X,Y,,Y,Y
1003115510,advanced-practice,363LN0005X,Y,,Y,
1003116088,pharmacy,183500000X,Y,,,
1003116211,advanced-practice,363A00000X,Y,,,
1003116575,dental,1223P0700X,Y,,,
1003117367,rehab-therapy,225100000X,Y,,Y,
1003117938,behavioral-health,104100000X,Y,,,
1003118076,physician,207V00000X,Y,,Y,Y
1003118936,advanced-practice,367500000X,Y,,Y,Y
1003119397,chiropractic,111N00000X,Y,,,
1003119447,advanced-practice,363AM0700X,Y,,,
1003120056,rehab-therapy,224Z00000X,Y,,,
1003120064,advanced-practice,363LA2200X,Y,,Y,Y
1003120213,physician,208VP0000X,Y,,Y,Y
1003120833,pharmacy,183500000X,Y,,,
1003120965,physician,207V00000X,Y,,Y,
1003121369,chiropractic,111N00000X,Y,,,
1003121906,nursing,163W00000X,Y,,,
1003122102,rehab-therapy,225X00000X,Y,,,
1003122698,physician,2085R0202X,Y,,Y,Y
1003123316,behavioral-health,103K00000X,Y,,,
1003123803,behavioral-health,101YM0800X,Y,,,
1003124488,pharmacy,183500000X,Y,,,
1003124736,behavioral-health,103T00000X,Y,,,
1003125212,behavioral-health,101YM0800X,Y,,,
1003125386,behavioral-health,101YM0800X,Y,,,
1003126111,nursing,163W00000X,Y,,,
1003126285,advanced-practice,363AM0700X,Y,,Y,
1003126392,dental,1223G0001X,Y,,Y,
1003127135,physician,207RC0200X,Y,,Y,Y
1003127663,rehab-therapy,225100000X,Y,,,
1003127689,rehab-therapy,225100000X,Y,,,
1003128547,advanced-practice,363AM0700X,Y,,Y,Y
1003129321,rehab-therapy,225100000X,Y,,,
1003129685,physician,207RE0101X,Y,,Y,Y
1003129941,nursing,164W00000X,Y,,,
1003130238,pharmacy,183500000X,Y,,,
1003130923,rehab-therapy,235Z00000X,Y,,,
1003132044,physician,207P00000X,Y,,Y,Y
1003132051,rehab-therapy,225X00000X,Y,,,
1003132176,rehab-therapy,225X00000X,Y,,,
1003133034,nursing,164W00000X,Y,,,
1003134081,physician,207Y00000X,Y,,Y,Y
1003134222,physician,207RP1001X,Y,,Y,Y
1003134412,advanced-practice,363LF0000X,Y,,Y,
1003134719,physician,207RA0001X,Y,,Y,Y
1003134818,pharmacy,183500000X,Y,,,
1003134826,rehab-therapy,225100000X,Y,,Y,Y
1003135625,advanced-practice,363AM0700X,Y,,Y,
1003135781,advanced-practice,363LA2100X,Y,,Y,Y
1003135955,physician,207L00000X,Y,,Y,
1003136375,physician,207RI0200X,Y,,Y,Y
1003136664,physician,207RG0100X,Y,,Y,Y
1003136904,dental,122300000X,Y,,Y,Y
1003137019,rehab-therapy,225100000X,Y,,,
1003137076,behavioral-health,103K00000X,Y,,,
1003137209,student,390200000X,Y,,,
1003137332,physician,207Q00000X,Y,,Y,Y
1003137613,physician,207P00000X,Y,,Y,Y
1003137779,pharmacy,183500000X,Y,,,
1003138371,pharmacy,183500000X,Y,,,
1003138504,pharmacy,183500000X,Y,,,
1003138645,behavioral-health,104100000X,Y,,,
1003138793,nursing,163W00000X,Y,,,
1003138868,physician,2085R0001X,Y,,Y,Y
1003138934,pharmacy,183500000X,Y,,,
1003138983,nursing,164W00000X,Y,,,
1003139593,advanced-practice,363LA2200X,Y,,Y,Y
1003140153,student,390200000X,Y,,Y,
1003140310,rehab-therapy,225100000X,Y,,Y,
1003140484,physician,207RC0000X,Y,,Y,Y
1003140526,rehab-therapy,225100000X,Y,,,
1003141375,behavioral-health,104100000X,Y,,Y,
1003141482,advanced-practice,367500000X,Y,,Y,Y
1003141623,advanced-practice,363LP0200X,Y,,,
1003141839,behavioral-health,101Y00000X,Y,,,
1003142860,behavioral-health,101YM0800X,Y,,,
1003143066,rehab-therapy,224Z00000X,Y,,,
1003143280,physician,207Q00000X,Y,,Y,Y
1003143488,physician,207RC0000X,Y,,,
1003144072,nursing,163W00000X,Y,,,
1003144205,rehab-therapy,225X00000X,Y,,,
1003144882,advanced-practice,363A00000X,Y,,Y,Y
1003145012,nursing,163W00000X,Y,,,
1003145228,rehab-therapy,225100000X,Y,,Y,Y
1003145863,behavioral-health,101YP2500X,Y,,,
1003146556,advanced-practice,363AS0400X,Y,,Y,Y
1003147034,rehab-therapy,225X00000X,Y,,,
1003147042,behavioral-health,103TC0700X,Y,,,
1003147208,dental,122300000X,Y,,,
1003148479,nursing,164W00000X,Y,,,
1003149188,pharmacy,183500000X,Y,,,
1003149675,rehab-therapy,225100000X,Y,,,
1003149816,rehab-therapy,2255A2300X,Y,,,
1003150566,rehab-therapy,235Z00000X,Y,,Y,
1003150699,advanced-practice,363AM0700X,Y,,Y,
1003150806,behavioral-health,101YM0800X,Y,,,
1003150897,behavioral-health,104100000X,Y,,,
1003151382,nursing,163W00000X,Y,,,
1003151747,rehab-therapy,225X00000X,Y,,,
1003152190,chiropractic,111N00000X,Y,,Y,
1003152562,advanced-practice,363L00000X,Y,,Y,Y
1003152729,rehab-therapy,235Z00000X,Y,,,
1003152828,behavioral-health,1041C0700X,Y,,,
1003152968,advanced-practice,363A00000X,Y,,Y,Y
1003153248,rehab-therapy,225X00000X,Y,,,
1003153511,behavioral-health,103TC0700X,Y,,,
1003154147,advanced-practice,363A00000X,Y,,Y,
1003154782,advanced-practice,363L00000X,Y,,Y,Y
1003155011,dental,1223X0400X,Y,,,
1003156241,behavioral-health,101YP2500X,Y,,Y,
1003157066,behavioral-health,101YP2500X,Y,,,
1003157470,advanced-practice,363L00000X,Y,,Y,
1003158395,behavioral-health,1041C0700X,Y,,Y,
1003158445,behavioral-health,101YP2500X,Y,,,
1003158528,dental,1223X0400X,Y,,,
1003158973,advanced-practice,363AS0400X,Y,,Y,Y
1003159419,physician,2086S0129X,Y,,Y,Y
1003160714,physician,207Q00000X,Y,,Y,Y
1003160961,rehab-therapy,225X00000X,Y,,,
1003161126,physician,208600000X,Y,,Y,Y
1003161613,dental,122300000X,Y,,Y,
1003161712,behavioral-health,101YP2500X,Y,,Y,Y
1003161860,advanced-practice,363LA2100X,Y,,Y,Y
1003162645,eye-vision,152W00000X,Y,,,
1003163544,behavioral-health,101YP2500X,Y,,Y,Y
1003163577,advanced-practice,363LF0000X,Y,,,
1003163692,behavioral-health,101Y00000X,Y,,,
1003165150,behavioral-health,101YA0400X,Y,,,
1003165549,behavioral-health,103TC0700X,Y,,,
1003165598,advanced-practice,363L00000X,Y,,Y,Y
1003165648,pharmacy,183500000X,Y,,,
1003165655,behavioral-health,106H00000X,Y,,,
1003165895,dental,122300000X,Y,,,
1003166422,behavioral-health,103TC0700X,Y,,,
1003166786,advanced-practice,367500000X,Y,,Y,Y
1003167826,chiropractic,111N00000X,Y,,,
1003167875,behavioral-health,1041C0700X,Y,,,
1003167909,behavioral-health,103T00000X,Y,,Y,
1003168246,physician,208000000X,Y,,Y,
1003168329,behavioral-health,1041C0700X,Y,,,
1003168733,other-clinical,171M00000X,Y,,,
1003169350,advanced-practice,363A00000X,Y,,Y,
1003169806,behavioral-health,1041C0700X,Y,,,
1003169814,physician,207QG0300X,Y,,Y,Y
1003170820,physician,207X00000X,Y,,Y,Y
1003171141,physician,207Q00000X,Y,,Y,Y
1003171406,behavioral-health,104100000X,Y,,,
1003171414,nursing,164W00000X,Y,,,
1003171810,physician,208M00000X,Y,,Y,Y
1003172867,physician,2086S0129X,Y,,Y,Y
1003174384,physician,2083P0901X,Y,,Y,
1003174707,physician,207RC0200X,Y,,Y,
1003175050,behavioral-health,101YP2500X,Y,,Y,
1003175944,eye-vision,152W00000X,Y,,Y,Y
1003176306,behavioral-health,101YM0800X,Y,,,
1003176611,physician,207Y00000X,Y,,Y,
1003176769,physician,2080N0001X,Y,,Y,Y
1003177205,physician,207K00000X,Y,,Y,Y
1003177445,nursing,164W00000X,Y,,,
1003177916,behavioral-health,101YM0800X,Y,,Y,
1003178245,physician,2084P0800X,Y,,Y,Y
1003178617,physician,207Y00000X,Y,,Y,Y
1003179045,physician,207RH0003X,Y,,Y,
1003179078,physician,207Q00000X,Y,,,
1003179284,physician,2085R0202X,Y,,Y,Y
1003180175,rehab-therapy,225100000X,Y,,,
1003180860,advanced-practice,363A00000X,Y,,Y,Y
1003181397,advanced-practice,363A00000X,Y,,Y,Y
1003181496,physician,207P00000X,Y,,Y,Y
1003181769,pharmacy,183500000X,Y,,,
1003182114,physician,207RG0100X,Y,,Y,Y
1003182775,rehab-therapy,225X00000X,Y,,,
1003183245,behavioral-health,101YP2500X,Y,,,
1003183294,pharmacy,183500000X,Y,,,
1003183369,pharmacy,183500000X,Y,,,
1003183377,pharmacy,183500000X,Y,,,
1003183815,pharmacy,183500000X,Y,,,
1003184433,rehab-therapy,231H00000X,Y,,,
1003184805,rehab-therapy,231H00000X,Y,,Y,Y
1003184953,advanced-practice,363LP0200X,Y,,,
1003185075,advanced-practice,367500000X,Y,,Y,Y
1003185562,behavioral-health,101YP2500X,Y,,,
1003185620,advanced-practice,367500000X,Y,,Y,Y
1003185984,behavioral-health,1041C0700X,Y,,Y,Y
1003186388,rehab-therapy,235Z00000X,Y,,Y,
1003186701,advanced-practice,363LP0200X,Y,,,
1003186867,eye-vision,156FX1800X,Y,,Y,
1003187451,rehab-therapy,225X00000X,Y,,Y,
1003189093,advanced-practice,363LF0000X,Y,,Y,Y
1003189259,rehab-therapy,225200000X,Y,,,
1003190067,rehab-therapy,225100000X,Y,,Y,Y
1003190224,advanced-practice,367500000X,Y,,Y,Y
1003190240,pharmacy,183500000X,Y,,,
1003190620,rehab-therapy,225100000X,Y,,Y,
1003190760,behavioral-health,101YP2500X,Y,,Y,Y
1003191198,advanced-practice,363LX0001X,Y,,Y,Y
1003191719,nursing,163W00000X,Y,,,
1003191883,advanced-practice,363LA2100X,Y,,Y,Y
1003192212,behavioral-health,1041C0700X,Y,,,Y
1003192329,behavioral-health,1041C0700X,Y,,,
1003192519,rehab-therapy,2255A2300X,Y,,,
1003193103,rehab-therapy,225200000X,Y,,,
1003193178,behavioral-health,101YP2500X,Y,,Y,Y
1003193202,advanced-practice,363AM0700X,Y,,Y,Y
1003193343,behavioral-health,101YM0800X,Y,,,
1003193806,advanced-practice,363AM0700X,Y,,Y,Y
1003194069,chiropractic,111N00000X,Y,,,
1003194119,rehab-therapy,225X00000X,Y,,,
1003194515,physician,208M00000X,Y,,Y,Y
1003194606,rehab-therapy,225X00000X,Y,,Y,Y
1003195231,advanced-practice,363AM0700X,Y,,Y,
1003196056,dietary,133V00000X,Y,,Y,
1003196460,physician,208M00000X,Y,,Y,Y
1003196924,dental,122300000X,Y,,Y,
1003196932,rehab-therapy,225100000X,Y,,,
1003197690,physician,2085R0202X,Y,,Y,Y
1003197740,behavioral-health,1041C0700X,Y,,,
1003197807,physician,2080P0205X,Y,,Y,Y
1003198334,pharmacy,183500000X,Y,,,
1003199522,dietary,133V00000X,Y,,,
1003200023,physician,207RC0200X,Y,,Y,Y
1003200452,advanced-practice,363LP2300X,Y,,Y,Y
1003200601,physician,207XS0106X,Y,,Y,Y
1003201153,behavioral-health,101YP2500X,Y,,,
1003201401,physician,207P00000X,Y,,Y,Y
1003201617,physician,207N00000X,Y,,Y,Y
1003201708,physician,208000000X,Y,,Y,Y
1003201872,physician,207Q00000X,Y,,Y,
1003203100,physician,207R00000X,Y,,Y,Y
1003204033,advanced-practice,363LA2100X,Y,Y,Y,Y
1003204173,rehab-therapy,235Z00000X,Y,,,
1003204868,behavioral-health,101YP2500X,Y,,Y,
1003205022,rehab-therapy,225100000X,Y,,Y,
1003206251,advanced-practice,363AM0700X,Y,,Y,Y
1003206426,rehab-therapy,225100000X,Y,,,
1003206616,dental,1223G0001X,Y,,,
1003207598,advanced-practice,363LF0000X,Y,,Y,Y
1003207853,behavioral-health,101YP2500X,Y,,,
1003207978,physician,207RN0300X,Y,,Y,Y
1003209297,behavioral-health,101YP2500X,Y,,,
1003209313,nursing,164W00000X,Y,,,
1003209990,behavioral-health,101Y00000X,Y,,,
1003210238,rehab-therapy,235Z00000X,Y,,,
1003210634,behavioral-health,101YA0400X,Y,,,
1003210758,advanced-practice,363A00000X,Y,,Y,Y
1003211616,behavioral-health,101YP2500X,Y,,,
1003211624,rehab-therapy,225100000X,Y,,,
1003211665,advanced-practice,363LF0000X,Y,,Y,Y
1003213307,advanced-practice,363LA2200X,Y,,Y,
1003213901,advanced-practice,363L00000X,Y,,Y,Y
1003213919,advanced-practice,363AM0700X,Y,,Y,
1003214586,nursing,163W00000X,Y,,,
1003215815,behavioral-health,101YM0800X,Y,,,
1003217100,advanced-practice,363AM0700X,Y,,Y,Y
1003217597,rehab-therapy,225100000X,Y,,Y,Y
1003217969,rehab-therapy,235Z00000X,Y,,Y,Y
1003218272,physician,2084P0800X,Y,,Y,Y
1003218280,advanced-practice,363LP0808X,Y,,Y,Y
1003218777,advanced-practice,363A00000X,Y,,Y,Y
1003219080,behavioral-health,103K00000X,Y,,,
1003219437,chiropractic,111N00000X,Y,,Y,
1003220062,advanced-practice,363AM0700X,Y,,Y,
1003220641,physician,208000000X,Y,,Y,Y
1003220740,dental,122300000X,Y,,Y,
1003221359,physician,207R00000X,Y,,Y,
1003221367,pharmacy,183500000X,Y,,,
1003221615,behavioral-health,1041C0700X,Y,,Y,Y
1003221714,advanced-practice,363A00000X,Y,,Y,
1003222084,dental,1223G0001X,Y,,,
1003222381,physician,208600000X,Y,,Y,Y
1003222555,podiatry,213ES0103X,Y,,Y,Y
1003222829,dietary,133V00000X,Y,,,
1003223744,pharmacy,183500000X,Y,,,
1003224536,pharmacy,183500000X,Y,,,
